board,ref,value,kind,role,hole,net,orientation_notes
latch,QP,SS8550,TO92,E,B2,OUT+,"formed_role_leads; PNP high-side switch: E to protected OUT+, B to PB, C to VSW.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; Do not trim E; retain at least 7.08 mm below the seated board for latch-L02. Use an insulated link if too short.; Do not trim B; retain at least 7.08 mm below the seated board for latch-L04. Use an insulated link if too short.; Do not trim C; retain at least 7.08 mm below the seated board for latch-L05. Use an insulated link if too short."
latch,QP,SS8550,TO92,B,B3,PB,"formed_role_leads; PNP high-side switch: E to protected OUT+, B to PB, C to VSW.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; Do not trim E; retain at least 7.08 mm below the seated board for latch-L02. Use an insulated link if too short.; Do not trim B; retain at least 7.08 mm below the seated board for latch-L04. Use an insulated link if too short.; Do not trim C; retain at least 7.08 mm below the seated board for latch-L05. Use an insulated link if too short."
latch,QP,SS8550,TO92,C,B4,VSW,"formed_role_leads; PNP high-side switch: E to protected OUT+, B to PB, C to VSW.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; Do not trim E; retain at least 7.08 mm below the seated board for latch-L02. Use an insulated link if too short.; Do not trim B; retain at least 7.08 mm below the seated board for latch-L04. Use an insulated link if too short.; Do not trim C; retain at least 7.08 mm below the seated board for latch-L05. Use an insulated link if too short."
latch,QL,BS170,TO92,D,B7,LDRV,"formed_role_leads; Latch MOSFET: D sinks LDRV, G is latch control, S is system GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; Do not trim G; retain at least 7.08 mm below the seated board for latch-L07. Use an insulated link if too short.; Do not trim S; retain at least 7.08 mm below the seated board for latch-L09. Use an insulated link if too short."
latch,QL,BS170,TO92,G,B8,GATE,"formed_role_leads; Latch MOSFET: D sinks LDRV, G is latch control, S is system GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; Do not trim G; retain at least 7.08 mm below the seated board for latch-L07. Use an insulated link if too short.; Do not trim S; retain at least 7.08 mm below the seated board for latch-L09. Use an insulated link if too short."
latch,QL,BS170,TO92,S,B9,GND,"formed_role_leads; Latch MOSFET: D sinks LDRV, G is latch control, S is system GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; Do not trim G; retain at least 7.08 mm below the seated board for latch-L07. Use an insulated link if too short.; Do not trim S; retain at least 7.08 mm below the seated board for latch-L09. Use an insulated link if too short."
latch,Rbe,100k,axial_resistor,1,D1,OUT+,upright; 100k pulls QP base toward its emitter to turn power off.; ; Do not trim 1; retain at least 9.62 mm below the seated board for latch-L01. Use an insulated link if too short.; Do not trim 2; retain at least 4.54 mm below the seated board for latch-L03. Use an insulated link if too short.
latch,Rbe,100k,axial_resistor,2,D2,PB,upright; 100k pulls QP base toward its emitter to turn power off.; ; Do not trim 1; retain at least 9.62 mm below the seated board for latch-L01. Use an insulated link if too short.; Do not trim 2; retain at least 4.54 mm below the seated board for latch-L03. Use an insulated link if too short.
latch,Rb,330,axial_resistor,1,D3,PB,horizontal; 330 ohm limits QP base current between PB and LDRV.; ; Do not trim 2; retain at least 7.08 mm below the seated board for latch-L06. Use an insulated link if too short.
latch,Rb,330,axial_resistor,2,D7,LDRV,horizontal; 330 ohm limits QP base current between PB and LDRV.; ; Do not trim 2; retain at least 7.08 mm below the seated board for latch-L06. Use an insulated link if too short.
